Site,Location,Session,MSE,PSNR,NMI,SSIM,SoftwareVersion,Temperature
137-0009,St Thomas,2023-10-03 16_20_58,0.0024630053977979,35.04745270061961,1.492383129829834,0.9840903708465418,rc8.7.0_Beta1,20.0
137-0009,St Thomas,2023-10-04 14_23_03,0.0024729886167561,35.44588580395012,1.4974999626956988,0.9840516061624076,rc8.7.0_Beta1,20.0
137-0009,St Thomas,2023-10-04 14_23_03,0.0024729886167561,35.44588580395012,1.4974999626956988,0.9840516061624076,rc8.7.0_Beta1,20.0
137-0009,St Thomas,2023-10-16 14_37_46,0.0027185881620069,34.40426959356586,1.4829338351040362,0.9821644653088412,rc8.7.0_Beta1,20.0
137-0009,St Thomas,2023-10-16 14_37_46,0.0027185881620069,34.40426959356586,1.4829338351040362,0.9821644653088412,rc8.7.0_Beta1,20.0
137-0009,St Thomas,2023-10-19 08_31_53,0.0023702221630685,35.19856917398931,1.4963834598323,0.9836699641592904,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-10-19 08_31_53,0.0023702221630685,35.19856917398931,1.4963834598323,0.9836699641592904,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-10-31 10_22_32,0.0023503987958858,35.273443992262926,1.496944076783187,0.9844857068391412,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-10-31 10_22_32,0.0023503987958858,35.273443992262926,1.496944076783187,0.9844857068391412,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-11-16 14_58_30,0.002448937303593,34.796723431445784,1.489796907587303,0.9838837352462249,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-11-16 14_58_30,0.002448937303593,34.796723431445784,1.489796907587303,0.9838837352462249,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-11-17 09_37_57,0.0024977037486396,34.67706076839568,1.4878104206388971,0.9828080921201932,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-11-17 09_37_57,0.0024977037486396,34.67706076839568,1.4878104206388971,0.9828080921201932,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2024-03-11 11_52_51,0.0024644255248895,34.896365383152165,1.4907576036029038,0.9842070595917424,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2024-03-11 11_52_51,0.0024644255248895,34.896365383152165,1.4907576036029038,0.9842070595917424,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2024-03-12 09_34_59,0.0026259930996394,34.73004491086452,1.4872955005001065,0.9833539617094084,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2024-03-12 09_34_59,0.0026259930996394,34.73004491086452,1.4872955005001065,0.9833539617094084,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2024-03-13 08_38_21,0.0027142381962881,34.518931806823126,1.4846538972642924,0.9827828316188356,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2024-03-13 08_38_21,0.0027142381962881,34.518931806823126,1.4846538972642924,0.9827828316188356,rc8.7.0_Beta1,21.0
137-0013,CNS,2023-06-21 13_28_58,0.0026865889537776,33.70011042441483,1.4681657271919395,0.9801285411630112,rc8.6.0,
137-0013,CNS,2023-06-21 13_28_58,0.0026864428593992,33.70034659641087,1.4681550511273596,0.98012809376479,rc8.6.0,
137-0013,CNS,2024-04-08 08_53_08,0.0026375099833499,34.65142579828077,1.484972520626455,0.9823542806367228,rc8.7.0_Beta1,27.0
137-0013,CNS,2024-04-08 08_53_08,0.0026376419246849,34.65120854806797,1.4849568105881854,0.982355506760946,rc8.7.0_Beta1,27.0
137-0013,CNS,2024-04-09 08_08_56,0.00266409980707,34.33876537076367,1.4807087553663552,0.9820018132487668,rc8.7.0_Beta1,27.0
137-0013,CNS,2024-04-09 08_08_56,0.002664139414341,34.338700804521366,1.4806968535863911,0.9820021114559762,rc8.7.0_Beta1,27.0
137-0013,CNS,2024-04-10 08_10_30,0.002657835314691,34.0662375589002,1.477270971570677,0.981927627009083,rc8.7.0_Beta1,27.0
137-0013,CNS,2024-04-10 08_10_30,0.0026586419648559,34.06491967978704,1.4772580287975996,0.9819228286894838,rc8.7.0_Beta1,27.0
137-0021,,2023-09-02 12_21_57,0.0026946447038704,32.58045639327633,1.4543781587452866,0.9822122903377372,8.6.1,
137-0021,,2023-09-02 12_21_57,0.002694667666192,32.580419385180114,1.4543780060159766,0.9822119662199126,8.6.1,
137-0021,,2023-09-01 10_41_30,0.0027569654612353,33.22692175850554,1.462959390367935,0.9801724042895448,8.6.1,
137-0021,,2023-09-01 10_41_30,0.0027569029760678,33.227020190173924,1.4629419618428072,0.9801781133711224,8.6.1,
137-0003,Caliber,2023-09-27 16_46_42,0.0026264912909971,33.40683562758291,1.4620318879557044,0.9844703713904585,8.6.0,24.0
137-0003,Caliber,2023-09-27 16_46_42,0.0026264737524385,33.406864627963245,1.462035578257594,0.984468683397222,8.6.0,24.0
137-0003,Caliber,2023-09-28 18_05_38,0.0027641413112913,32.801293722063264,1.4544530214007088,0.9836897420940532,8.6.0,24.0
137-0003,Caliber,2023-09-28 18_05_38,0.0027640510610812,32.80143552309183,1.4544664084422123,0.9836890002232062,8.6.0,24.0
